Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
28-Mar-25,EQ,"1,204.20","1,224.40","1,204.20","1,202.05","1,217.00","1,219.90","1,218.93","1,633.00","1,177.00","4,05,048","49,37,23,933.20","23,501"
27-Mar-25,EQ,"1,215.90","1,220.95","1,200.00","1,213.10","1,204.00","1,202.05","1,206.10","1,633.00","1,177.00","1,49,782","18,06,52,309.70","14,059"
26-Mar-25,EQ,"1,233.95","1,241.30","1,210.10","1,229.90","1,210.50","1,213.10","1,224.48","1,633.00","1,177.00","1,11,424","13,64,36,356.75","13,099"
25-Mar-25,EQ,"1,246.90","1,248.95","1,224.80","1,236.45","1,230.00","1,229.90","1,234.67","1,633.00","1,177.00","1,04,508","12,90,33,262.45","13,044"
24-Mar-25,EQ,"1,256.80","1,256.80","1,231.55","1,243.40","1,237.00","1,236.45","1,243.07","1,633.00","1,177.00","1,14,547","14,23,90,310.90","13,625"
21-Mar-25,EQ,"1,271.25","1,280.00","1,237.00","1,269.30","1,241.60","1,243.40","1,254.30","1,633.00","1,177.00","1,30,336","16,34,80,302.40","11,187"
20-Mar-25,EQ,"1,271.15","1,294.00","1,261.35","1,269.15","1,268.00","1,269.30","1,274.45","1,633.00","1,177.00","98,728","12,58,23,691.20","13,105"
19-Mar-25,EQ,"1,240.00","1,275.00","1,227.50","1,235.90","1,261.50","1,269.15","1,254.94","1,633.00","1,177.00","1,27,773","16,03,47,167.15","12,720"
18-Mar-25,EQ,"1,215.00","1,238.85","1,204.80","1,205.90","1,238.00","1,235.90","1,227.39","1,633.00","1,177.00","89,849","11,02,80,186.90","10,064"
17-Mar-25,EQ,"1,230.00","1,239.75","1,202.00","1,236.45","1,207.00","1,205.90","1,216.27","1,633.00","1,177.00","1,25,011","15,20,46,746.30","16,387"
13-Mar-25,EQ,"1,230.00","1,240.00","1,214.95","1,229.10","1,238.00","1,236.45","1,231.87","1,633.00","1,177.00","1,09,731","13,51,74,518.15","13,991"
12-Mar-25,EQ,"1,197.80","1,231.40","1,197.80","1,197.40","1,220.05","1,229.10","1,216.80","1,633.00","1,177.00","1,64,096","19,96,71,350.00","17,968"
11-Mar-25,EQ,"1,215.00","1,215.00","1,196.10","1,216.20","1,199.60","1,197.40","1,201.43","1,633.00","1,177.00","63,128","7,58,43,911.60","8,265"
10-Mar-25,EQ,"1,229.00","1,242.25","1,210.75","1,233.10","1,216.00","1,216.20","1,218.67","1,633.00","1,177.00","72,358","8,81,80,704.10","10,769"
07-Mar-25,EQ,"1,245.00","1,254.40","1,228.00","1,246.65","1,230.85","1,233.10","1,241.45","1,633.00","1,177.00","61,540","7,63,98,583.40","7,042"
06-Mar-25,EQ,"1,256.00","1,259.45","1,233.15","1,237.10","1,252.00","1,246.65","1,249.31","1,633.00","1,177.00","61,765","7,71,63,600.20","9,415"
05-Mar-25,EQ,"1,202.10","1,242.00","1,202.10","1,211.95","1,239.00","1,237.10","1,229.20","1,633.00","1,177.00","90,411","11,11,32,897.60","10,519"
04-Mar-25,EQ,"1,222.00","1,232.45","1,205.00","1,237.80","1,205.00","1,211.95","1,218.70","1,633.00","1,177.00","85,795","10,45,58,565.30","10,222"
03-Mar-25,EQ,"1,224.00","1,260.00","1,177.00","1,221.10","1,257.00","1,237.80","1,206.67","1,633.00","1,177.00","1,79,183","21,62,14,331.35","26,084"
28-Feb-25,EQ,"1,264.40","1,267.00","1,213.80","1,282.25","1,224.00","1,221.10","1,237.00","1,633.00","1,213.80","1,53,312","18,96,47,366.40","13,106"
27-Feb-25,EQ,"1,330.45","1,343.85","1,247.50","1,346.05","1,266.80","1,282.25","1,308.62","1,633.00","1,228.05","3,51,668","46,01,99,498.10","20,476"
25-Feb-25,EQ,"1,336.00","1,377.15","1,330.55","1,336.30","1,337.95","1,346.05","1,359.13","1,633.00","1,228.05","10,46,583","1,42,24,45,641.70","48,875"
24-Feb-25,EQ,"1,277.45","1,351.70","1,277.45","1,298.10","1,335.00","1,336.30","1,330.65","1,633.00","1,228.05","5,33,086","70,93,48,775.10","34,343"
21-Feb-25,EQ,"1,265.00","1,323.80","1,263.05","1,264.15","1,296.25","1,298.10","1,303.17","1,633.00","1,228.05","5,95,310","77,57,87,182.15","32,457"
20-Feb-25,EQ,"1,254.40","1,269.00","1,245.50","1,256.35","1,265.00","1,264.15","1,256.46","1,633.00","1,228.05","1,29,345","16,25,17,242.00","9,654"
19-Feb-25,EQ,"1,284.00","1,310.10","1,251.25","1,284.75","1,254.35","1,256.35","1,263.45","1,633.00","1,228.05","1,97,385","24,93,87,048.55","14,791"
18-Feb-25,EQ,"1,294.90","1,295.60","1,264.50","1,296.30","1,280.60","1,284.75","1,271.55","1,633.00","1,228.05","4,99,929","63,56,86,915.55","12,533"
17-Feb-25,EQ,"1,309.60","1,328.35","1,280.60","1,320.05","1,299.00","1,296.30","1,294.93","1,633.00","1,228.05","1,98,184","25,66,34,323.25","19,690"
14-Feb-25,EQ,"1,334.00","1,344.00","1,303.45","1,333.70","1,320.00","1,320.05","1,324.02","1,633.00","1,228.05","1,27,682","16,90,53,554.85","11,616"
13-Feb-25,EQ,"1,350.25","1,358.40","1,317.60","1,353.60","1,335.00","1,333.70","1,330.55","1,633.00","1,228.05","2,16,551","28,81,31,740.90","13,883"
12-Feb-25,EQ,"1,336.00","1,378.95","1,335.65","1,343.40","1,356.70","1,353.60","1,358.16","1,633.00","1,228.05","2,47,157","33,56,79,013.85","18,069"
11-Feb-25,EQ,"1,348.40","1,362.90","1,326.05","1,341.15","1,344.85","1,343.40","1,344.34","1,633.00","1,228.05","3,24,175","43,58,02,983.30","24,978"
10-Feb-25,EQ,"1,332.05","1,351.95","1,322.55","1,334.50","1,339.00","1,341.15","1,341.18","1,633.00","1,228.05","1,60,276","21,49,59,461.65","16,059"
07-Feb-25,EQ,"1,356.00","1,360.50","1,330.00","1,356.75","1,334.00","1,334.50","1,339.34","1,633.00","1,228.05","86,962","11,64,72,068.30","8,139"
06-Feb-25,EQ,"1,365.00","1,381.90","1,352.35","1,368.75","1,357.55","1,356.75","1,368.03","1,633.00","1,228.05","1,60,062","21,89,69,434.75","13,695"
05-Feb-25,EQ,"1,374.00","1,384.25","1,360.00","1,368.35","1,363.70","1,368.75","1,371.67","1,633.00","1,228.05","84,644","11,61,03,516.30","8,023"
04-Feb-25,EQ,"1,401.55","1,420.25","1,351.55","1,415.30","1,372.00","1,368.35","1,371.76","1,633.00","1,228.05","3,54,217","48,59,02,047.05","26,401"
03-Feb-25,EQ,"1,364.05","1,424.60","1,351.75","1,377.15","1,407.10","1,415.30","1,403.61","1,633.00","1,228.05","9,98,808","1,40,19,32,378.95","59,952"
01-Feb-25,EQ,"1,295.00","1,385.15","1,288.05","1,296.80","1,380.00","1,377.15","1,338.88","1,633.00","1,228.05","9,16,732","1,22,73,90,397.30","38,656"
