Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
28-Mar-25,EQ,692.8,716.1,692.8,695.8,699.1,708.95,707.64,935,622.1,"2,52,781","17,88,78,826.85","12,477"
27-Mar-25,EQ,700,709.45,688.8,706.85,696.6,695.8,696.99,935,622.1,"96,143","6,70,10,865.45","11,981"
26-Mar-25,EQ,720,720,697.55,715.85,713,706.85,706.44,935,622.1,"64,039","4,52,39,950.70","9,053"
25-Mar-25,EQ,725,729,709.2,718.85,717,715.85,715.29,935,622.1,"73,371","5,24,81,207.90","10,929"
24-Mar-25,EQ,723.3,738.8,716.6,726.8,717,718.85,725.43,935,622.1,"1,14,051","8,27,35,990.95","14,429"
21-Mar-25,EQ,701.8,731.35,698.7,704.2,727.3,726.8,717.28,935,622.1,"1,20,160","8,61,88,047.80","13,764"
20-Mar-25,EQ,714.8,721.15,700.1,712.85,705,704.2,705.82,935,622.1,"68,394","4,82,74,143.80","9,037"
19-Mar-25,EQ,705,719,698.2,704.25,708,712.85,708.13,935,622.1,"1,53,659","10,88,09,990.55","19,602"
18-Mar-25,EQ,680.05,707.85,680.05,673.55,703,704.25,692.92,935,622.1,"4,37,513","30,31,59,721.25","20,616"
17-Mar-25,EQ,705,705.85,664,705.95,682,673.55,681.76,935,622.1,"6,44,339","43,92,83,173.15","33,870"
13-Mar-25,EQ,709.9,713.95,702,709.9,705,705.95,705.92,935,622.1,"46,134","3,25,66,684.35","6,184"
12-Mar-25,EQ,725.75,727.9,702,724.85,713.9,709.9,710.91,935,622.1,"5,91,352","42,03,98,985.80","32,714"
11-Mar-25,EQ,734,734,712.85,739.6,723,724.85,722.58,935,622.1,"1,16,149","8,39,26,621.60","9,954"
10-Mar-25,EQ,731.9,748,715.5,738.45,741.7,739.6,735.83,935,622.1,"1,36,101","10,01,46,832.90","21,349"
07-Mar-25,EQ,736,751,730.1,735.95,734,738.45,744.23,935,622.1,"2,64,695","19,69,94,609.30","23,044"
06-Mar-25,EQ,718,739.95,710.9,704.9,735,735.95,730.45,935,622.1,"2,67,339","19,52,77,519.20","25,069"
05-Mar-25,EQ,697,708,694.65,704.05,705,704.9,700.76,935,622.1,"1,22,229","8,56,52,978.55","10,608"
04-Mar-25,EQ,710,710,688.15,717.65,701,704.05,702.32,935,622.1,"3,47,303","24,39,16,697.90","39,837"
