Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
28-Mar-25,EQ,471.15,481.6,462.9,469.05,465.15,467.25,473.5,795.4,336.05,"53,18,930","2,51,85,01,730.65","65,561"
27-Mar-25,EQ,473,475,464.3,474.3,471,469.05,469.69,795.4,336.05,"50,40,093","2,36,73,03,863.45","65,496"
26-Mar-25,EQ,471.1,481.5,468.6,469.2,473,474.3,475.08,795.4,336.05,"66,31,615","3,15,05,68,665.20","73,762"
25-Mar-25,EQ,492.35,495,466.45,489.85,469,469.2,477.11,795.4,336.05,"86,67,538","4,13,53,86,402.45","1,07,652"
24-Mar-25,EQ,474.05,500.7,466.55,471.2,489,489.85,488.01,795.4,336.05,"1,29,29,450","6,30,96,57,118.00","1,31,889"
21-Mar-25,EQ,467.85,484,464.55,467.25,469.3,471.2,474.5,795.4,336.05,"97,07,389","4,60,61,12,540.45","95,876"
20-Mar-25,EQ,460,475,442.5,453.55,463.8,467.25,457.83,795.4,336.05,"1,17,53,814","5,38,12,45,227.10","92,842"
19-Mar-25,EQ,434.45,465,434,434.45,456.8,453.55,446.44,795.4,336.05,"87,32,320","3,89,84,37,376.00","70,482"
18-Mar-25,EQ,429.95,437.5,428.15,428,434.5,434.45,433.99,795.4,336.05,"67,45,975","2,92,76,91,884.05","59,983"
17-Mar-25,EQ,430,437.75,425,430.9,426.75,428,431.72,795.4,336.05,"62,86,845","2,71,41,35,007.05","67,939"
13-Mar-25,EQ,429.35,436.45,418,427.25,429,430.9,426.59,795.4,336.05,"98,09,250","4,18,45,27,990.75","93,104"
12-Mar-25,EQ,424.15,431.4,417.65,421.5,426,427.25,424.54,795.4,336.05,"1,30,69,316","5,54,84,18,225.15","1,25,949"
11-Mar-25,EQ,404.5,430.15,399.4,407.5,421.9,421.5,413.88,795.4,336.05,"3,20,37,217","13,25,96,80,787.00","2,40,974"
10-Mar-25,EQ,438,439.1,406,431.7,407.95,407.5,416.36,795.4,336.05,"1,71,35,126","7,13,43,61,271.45","2,40,590"
07-Mar-25,EQ,452,453.4,429,450.4,430,431.7,439.07,795.4,336.05,"1,17,62,843","5,16,46,91,255.15","2,19,352"
06-Mar-25,EQ,468.25,475.5,447.1,467.45,448.9,450.4,458.93,795.4,336.05,"76,22,018","3,49,79,92,451.20","1,18,695"
05-Mar-25,EQ,457.8,469.45,455.1,459.6,467.45,467.45,464.15,795.4,336.05,"58,83,560","2,73,08,47,701.25","80,742"
04-Mar-25,EQ,437.9,465.35,426,440.45,456,459.6,445.69,795.4,336.05,"1,22,07,939","5,44,09,27,617.50","1,33,209"
03-Mar-25,EQ,464.05,467.35,436.85,462.25,441.4,440.45,447.45,795.4,336.05,"79,93,592","3,57,67,59,942.60","1,05,466"
28-Feb-25,EQ,452.55,472.3,452.55,469.2,468.55,462.25,461.57,795.4,336.05,"96,78,048","4,46,70,83,359.80","1,05,181"
27-Feb-25,EQ,479,483.95,458.55,478.05,467,469.2,470.2,795.4,336.05,"79,99,524","3,76,14,00,766.40","98,819"
25-Feb-25,EQ,482.45,487.9,473.15,479.1,476.5,478.05,480.71,795.4,336.05,"66,24,720","3,18,45,92,476.75","69,477"
24-Feb-25,EQ,482.95,485.2,474.6,485.25,478.45,479.1,479.87,795.4,336.05,"61,51,724","2,95,20,18,178.45","68,394"
21-Feb-25,EQ,493,502.4,482,493.85,483.2,485.25,491.96,795.4,336.05,"69,75,603","3,43,17,18,305.10","89,498"
20-Feb-25,EQ,483.15,496.5,480.15,483.15,493.55,493.85,490.7,795.4,336.05,"86,15,680","4,22,77,54,975.20","1,07,597"
19-Feb-25,EQ,484,493.75,474.8,484.3,483.4,483.15,485.98,795.4,336.05,"1,63,18,703","7,93,05,95,878.60","2,04,673"
18-Feb-25,EQ,503.05,506.25,479.5,507.05,483.75,484.3,488.78,795.4,336.05,"1,33,75,181","6,53,75,71,806.65","1,91,884"
17-Feb-25,EQ,484.45,509.95,477.55,488.4,504,507.05,499.8,795.4,336.05,"1,55,40,320","7,76,70,72,970.80","2,52,011"
14-Feb-25,EQ,522,524.85,480.15,526.45,484.45,488.4,499.92,795.4,336.05,"1,25,16,211","6,25,71,65,354.80","1,83,446"
13-Feb-25,EQ,511,530,507,512.6,525,526.45,521.22,795.4,336.05,"1,08,61,298","5,66,11,09,736.50","1,42,938"
12-Feb-25,EQ,512.1,521.65,498.65,520.25,513,512.6,510.52,795.4,336.05,"1,14,42,504","5,84,16,78,216.50","1,49,486"
11-Feb-25,EQ,524.65,527,505,522.05,517.2,520.25,514.03,795.4,336.05,"1,03,54,212","5,32,23,78,199.10","1,34,914"
10-Feb-25,EQ,537.05,545,514,539.4,523.4,522.05,522.72,795.4,336.05,"1,00,99,332","5,27,90,89,533.70","1,44,065"
07-Feb-25,EQ,541,553.55,533.6,542.4,537,539.4,542.85,795.4,329.15,"1,73,68,687","9,42,85,64,064.30","2,30,906"
06-Feb-25,EQ,564,569.5,538.1,567.85,543,542.4,552.93,795.4,329.15,"2,38,85,400","13,20,69,21,523.60","2,99,923"
05-Feb-25,EQ,567,591.4,553,563.8,565.25,567.85,572.71,795.4,329.15,"5,18,57,027","29,69,90,53,841.25","6,63,483"
04-Feb-25,EQ,510,594,505.1,502.9,562,563.8,540.18,795.4,329.15,"5,24,26,558","28,31,96,84,376.85","4,83,294"
03-Feb-25,EQ,502.45,517.35,485.1,505.45,502.95,502.9,505.5,795.4,329.15,"2,27,26,079","11,48,80,32,995.65","3,18,265"
01-Feb-25,EQ,502,526.75,484,503.1,502.5,505.45,509.51,795.4,321.95,"4,88,67,197","24,89,84,83,374.15","5,78,794"
31-Jan-25,EQ,460.05,506.7,446.5,440.65,503,503.1,486.2,795.4,321.95,"7,61,84,680","37,04,10,68,701.55","7,57,397"
30-Jan-25,EQ,451,466.05,435.1,448.7,443,440.65,450.34,795.4,321.95,"2,16,31,272","9,74,13,90,417.20","2,70,759"
29-Jan-25,EQ,441.1,451.95,434.3,438.05,451,448.7,445.2,795.4,321.95,"1,81,78,589","8,09,30,71,949.90","2,33,859"
28-Jan-25,EQ,437.55,448.95,420.65,437.2,437.5,438.05,436.13,795.4,321.95,"2,91,56,002","12,71,58,06,794.35","3,31,456"
27-Jan-25,EQ,458,458,433.2,458.75,436.9,437.2,440.34,795.4,321.95,"1,87,98,873","8,27,79,78,425.30","2,63,488"
