Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
28-Mar-25,EQ,348.5,360.95,346.05,350.45,356.4,355.55,352.63,577.45,300,"2,51,317","8,86,22,305.60","14,966"
27-Mar-25,EQ,353,354.85,348,353,350.45,350.45,350.82,577.45,300,"1,50,157","5,26,78,616.75","10,605"
26-Mar-25,EQ,356.75,357.45,351,356.75,353.15,353,354.27,577.45,300,"2,90,811","10,30,24,999.40","15,753"
25-Mar-25,EQ,357.3,358.2,350.15,356.8,356,356.75,354.83,577.45,300,"2,74,255","9,73,14,364.15","16,788"
24-Mar-25,EQ,350.65,362.35,350.65,350.15,355,356.8,357.12,577.45,300,"2,93,713","10,48,89,610.60","16,310"
21-Mar-25,EQ,344.45,351,341.4,343.3,350.95,350.15,348.51,577.45,300,"2,21,515","7,72,00,045.20","10,063"
20-Mar-25,EQ,351.95,352.55,342,350.1,343.4,343.3,345.4,577.45,300,"3,78,013","13,05,65,416.50","23,537"
19-Mar-25,EQ,350.25,355.4,345.45,350.25,350.55,350.1,349.52,577.45,300,"3,02,408","10,56,97,349.50","14,063"
18-Mar-25,EQ,336.75,352.95,335.6,335.05,350.4,350.25,348.86,577.45,300,"4,30,843","15,03,05,741.05","21,114"
17-Mar-25,EQ,339.95,339.95,331.1,335.05,335.4,335.05,334.4,577.45,300,"1,86,927","6,25,07,689.15","11,335"
13-Mar-25,EQ,332.05,336,326.6,330.65,335.15,335.05,333.2,577.45,300,"3,24,768","10,82,11,480.80","25,171"
12-Mar-25,EQ,333.5,335.05,324,332.4,331,330.65,328.89,577.45,300,"2,79,421","9,19,00,157.20","28,586"
11-Mar-25,EQ,327.7,333.75,321.15,331.35,333.05,332.4,329.43,577.45,300,"3,80,285","12,52,75,776.75","31,465"
10-Mar-25,EQ,332.7,336.5,324.1,330.85,331.6,331.35,330.19,577.45,300,"3,51,105","11,59,29,679.65","32,962"
07-Mar-25,EQ,327.25,335.5,323.1,327.25,330.15,330.85,329.96,577.45,300,"3,84,250","12,67,86,221.30","22,608"
06-Mar-25,EQ,324,330.85,323.6,322.6,326.4,327.25,328.4,577.45,300,"2,46,406","8,09,18,603.40","17,879"
05-Mar-25,EQ,313.5,325.35,310.6,313.3,321.25,322.6,318.15,577.45,300,"4,44,411","14,13,89,887.00","26,354"
04-Mar-25,EQ,306.7,315.3,300,311.05,314.95,313.3,309.5,577.45,300,"6,36,823","19,70,95,069.00","37,160"
03-Mar-25,EQ,309.45,318.75,301.25,309.45,310.95,311.05,307.4,577.45,301.25,"3,39,865","10,44,73,802.90","27,236"
28-Feb-25,EQ,317.25,317.45,304.2,317.25,314,309.45,308.66,577.45,303.1,"4,89,720","15,11,57,248.35","26,301"
27-Feb-25,EQ,319.55,324.4,314.5,326.55,317.45,317.25,317.48,577.45,303.1,"4,04,486","12,84,16,568.25","24,312"
25-Feb-25,EQ,333.7,336.1,325,334.4,326.55,326.55,328.73,577.45,303.1,"4,44,363","14,60,76,346.25","29,971"
24-Feb-25,EQ,340,344.7,329.3,344.65,333.7,334.4,333.86,577.45,303.1,"5,32,657","17,78,34,947.25","41,047"
21-Feb-25,EQ,333.1,354.45,333.1,330.65,344.4,344.65,345.27,577.45,303.1,"10,68,452","36,89,04,990.60","61,816"
20-Feb-25,EQ,333.75,339,327.15,333.75,331,330.65,331.29,577.45,303.1,"6,37,573","21,12,21,990.40","34,836"
19-Feb-25,EQ,335,345,331,333.6,335,333.75,337.73,577.45,303.1,"3,57,953","12,08,90,927.35","26,022"
18-Feb-25,EQ,340,342.2,326.25,338.9,339,333.6,332.57,577.45,303.1,"2,70,885","9,00,87,566.20","24,193"
17-Feb-25,EQ,340.05,342.8,330.8,340.15,340.9,338.9,336.44,577.45,303.1,"2,62,649","8,83,66,461.65","26,818"
14-Feb-25,EQ,343.5,346.55,330,343.15,340,340.15,340.5,577.45,301.95,"3,26,049","11,10,19,728.85","28,440"
13-Feb-25,EQ,361.4,368.8,340.1,358.85,342.1,343.15,349.29,577.45,301.95,"6,89,846","24,09,56,321.05","47,802"
12-Feb-25,EQ,373.8,373.8,354,373.9,360,358.85,358.9,577.45,301.95,"4,92,795","17,68,61,777.55","35,568"
11-Feb-25,EQ,390,390.75,366.1,389.9,369.85,373.9,373.85,577.45,301.95,"2,76,172","10,32,46,728.45","19,561"
10-Feb-25,EQ,391.95,391.95,378.2,393.25,390.15,389.9,385.92,577.45,301.95,"1,43,073","5,52,14,993.50","8,948"
07-Feb-25,EQ,395.1,398.05,390.1,395.1,394,393.25,393.56,577.45,301.95,"2,23,663","8,80,24,724.25","17,467"
06-Feb-25,EQ,390.35,396,389.05,396.95,394.3,395.1,393.32,577.45,301.95,"1,59,955","6,29,13,644.90","10,919"
05-Feb-25,EQ,400,402.75,386.8,389,395.2,396.95,395.49,577.45,301.95,"3,77,063","14,91,25,179.50","23,449"
04-Feb-25,EQ,385.75,398,381.7,389.15,392,389,387.53,577.45,301.95,"2,21,533","8,58,51,227.15","13,827"
03-Feb-25,EQ,378.05,390.1,374.55,385.4,389.2,389.15,386.32,577.45,301.95,"3,39,928","13,13,20,338.25","23,144"
01-Feb-25,EQ,365.95,388,362.9,364.45,386.4,385.4,376.65,577.45,288.95,"2,87,030","10,81,08,558.80","20,679"
31-Jan-25,EQ,360.5,369.5,357.95,364.35,364.7,364.45,363.66,577.45,288.95,"3,33,473","12,12,70,072.55","27,015"
30-Jan-25,EQ,356.65,368.8,356.65,357.3,364.9,364.35,364.15,577.45,288.95,"3,16,058","11,50,93,437.40","26,174"
29-Jan-25,EQ,350.1,363.6,348.85,353.8,357,357.3,357.92,577.45,288.95,"2,67,837","9,58,63,638.65","15,998"
28-Jan-25,EQ,365.7,366.3,344.05,365.7,350.25,353.8,359.12,577.45,288.95,"5,97,716","21,46,54,604.90","38,139"
27-Jan-25,EQ,355,366.8,350.4,365.55,365,365.7,358.35,577.45,288.95,"4,14,744","14,86,21,627.35","33,237"
24-Jan-25,EQ,375,377.45,364.05,374.3,366,365.55,368.8,577.45,285.8,"1,23,703","4,56,21,070.80","12,978"
23-Jan-25,EQ,375,381.6,370.05,380.05,373.4,374.3,375.67,577.45,285.8,"2,21,805","8,33,26,013.10","13,559"
22-Jan-25,EQ,378.9,381.8,365.5,378.55,380.25,380.05,373.46,577.45,285.8,"3,39,531","12,68,01,567.05","26,486"
21-Jan-25,EQ,387.55,387.8,372.1,387.8,376.05,378.55,377.91,577.45,285.8,"5,00,346","18,90,87,126.75","26,396"
20-Jan-25,EQ,384.15,390,379.65,384.15,387.25,387.8,386.75,577.45,285.8,"3,02,910","11,71,51,180.15","12,928"
